Title,CAS Number,Use(s),Date Listed,Type of Toxicity,Listing Mechanism
Acrylonitrile,107-13-1,"Production of acrylic and modacrylic fibers; chemical intermediate in synthesis of antioxidants, pharmaceuticals, dyes, and surface-active agents; component of emissions, auto exhaust, and tobacco smoke",01-Jul-87,cancer,FR
Actinomycin D,50-76-0,Medicine (antineoplastic),01-Oct-92,developmental,FR
Aflatoxins,,Naturally occurring mycotoxins produced by the fungi Aspergillus flavus and Aspergillus parasiticus; aflatoxin metabolites may be found in the milk of animals fed contaminated feed,01-Jan-88,cancer,SQE
Alachlor,15972-60-8,Herbicide,01-Jan-89,cancer,SQE
Albuterol,18559-94-9,"Medication, as a bronchodilator or tocolytic",,,
Alcoholic beverages,,,29-Apr-11,cancer,LC
"Alcoholic Beverages, when associated with alcohol abuse",,,,,
Aldrin,309-00-2,Formerly used as an insecticide. All uses except termite control banned in US in 1974; all uses banned in US in 1987.,01-Jul-88,cancer,SQE
All-trans Retinoic Acid,302-79-4,"Metabolite of vitamin A (retinol); medicine (acne treatment), skin care products",,,
Allyl Chloride,107-05-1,"Production of epichlorohydrin, glycerin, pesticides, and pharmaceuticals",,,
Allyl Isovalerate,2835-39-4,"Allyl isovalerate is a colorless liquid primarily used as a flavoring agent and as in cosmetics, lotions, and perfumes and in certain food products",,,
"Aloe Vera, non-decolorized whole leaf extract",,Dietary supplement and food and beverage additive. Also used as a therapeutic dermatologic agent in a variety of topical health care products and cosmetics.,04-Dec-15,cancer,LC
alpha-Methylstyrene,98-83-9,,,,
Alprazolam,28981-97-7,Medicine (treatment of anxiety disorders); most prescribed and most misused benzodiazepine in US.,01-Jul-90,developmental ,FR
Altretamine,645-05-6,Medicine (antineoplastic),20-Aug-99,"developmental, male ",FR
Aluminum,7429-90-5,"Alloys for beverage containers, electronics, vehicles, appliances, construction materials, household items, cosmetics; component of paints, pigments, missile fuel, and explosives; optical coatings",,,
Amantadine Hydrochloride,665-66-7,"Medicine (NMDA-receptor antagonist, antiviral; treatment for influenza, Parkinson's disease, and shingles)",,,
Amikacin Sulfate,39831-55-5,Medicine (antibiotic),,,
"1-Amino-2,4-dibromoanthraquinone",81-49-2,,26-Aug-97,cancer ,AB
1-Amino-2-methylanthraquinone,82-28-0,Dye; chemical intermediate in production of dyes. No production or import in the US since 1974.,01-Oct-89,cancer,LC
4-Amino-2-nitrophenol,119-34-6,Hair dye,29-Jan-99,cancer ,SQE
2-Amino-4-(isopropyl-d7-amino)-6-chloro-triazine,6190-65-4,,,,
2-Amino-4-Chlorophenol,95-85-2,"Hair dye, to color the hair",,,
3-Amino-9-ethylcarbazolehydrochloride,6109-97-3,Chemical intermediate in production of aromatic amine dyes (CI Pigment Violet 23 and CI Direct Blue 108),,,
Amino-alpha-carboline,26148-68-5,Found in cooked food as byproduct of browning reaction; component of tobacco smoke,,,
2-Aminoanthraquinone,117-79-3,Production of dyes,01-Oct-89,cancer,LC
p-Aminoazobenzene,60-09-3,,01-Jan-90,cancer,AB
o-Aminoazotoluene,97-56-3,"Azo dyes, chemical intermediate (dyes)",01-Jul-87,cancer,SQE
4-Aminobiphenyl,92-67-1,Production of azo dyes; component of tobacco smoke,,,
2-Aminofluorene,153-78-6,Research chemical,29-Jan-99,cancer ,SQE
Aminoglutethimide,125-84-8,"Medicine (treatment of Cushing's syndrome, metastatic breast cancer); used by body builders in a steroid cycle",01-Jul-90,developmental,FR
Aminoglycosides,,,01-Oct-92,developmental ,FR
Aminopterin,54-62-6,Former medicine (antineoplastic with immunosuppressive qualities) to treat leukemia until the 1950s; current investigation for further medicinal use.,01-Jul-87,"developmental, female",SQE
Amiodarone Hydrochloride,19774-82-4,Medicine (antiarrhythmic; ion channel blocker),,,
Amitraz,33089-61-1,"Acaricide, insecticide; veterinary medicine (ectoparasiticide)",30-Mar-99,developmental ,AB
Amitrole,61-82-5,"Herbicide for non-cropland grasses, broadleaf weeds, and aquatic weeds; use on food crops in the US cancelled by the EPA in 1971",01-Jul-87,cancer,SQE
Ammonia,7664-41-7,"Fertilizer, household cleaning solution, fermentation (nitrogen source), refrigerant, fuel, antimicrobial agent for animal feed and beef products; production of fertilizer and explosives; component of tobacco smoke",,,
Amoxapine,14028-44-5,Medicine (antidepressant),15-May-98,developmental ,FR
Amsacrine,51264-14-3,Medicine (treatment of leukemia),07-Aug-09,cancer ,LC
Anabolic Steroids,,,,,
Analgesic mixtures containing Phenacetin,,,27-Feb-87,cancer,LC
Androstenedione,63-05-8,Performance enhancement (androgenic anabolic steroid precursor),03-May-11,cancer,AB
Angiotensin converting enzyme (ACE) inhibitors,,,,,
Anilazine,101-05-3,Pesticide; fungicide,,,
Aniline,62-53-3,"Solvent, antiknock additive to gasoline; chemical intermediate in production of rubber, herbicides, dyes and pigments, resins, varnishes, polyurethane, explosives; component of tobacco smoke",01-Jan-90,cancer,AB
Aniline Hydrochloride,142-04-1,Dyeing and printing; chemical synthesis,,,
o-Anisidine,90-04-0,Chemical intermediate in production of azo dyes and guaiacol,01-Jul-87,cancer,SQE
o-Anisidine Hydrochloride,134-29-2,"Corrosion inhibitor, antioxidant for polymercaptan resins; chemical intermediate in production of dyes and pigments, pharmaceuticals",,,
Anisindione,117-37-3,Medicine (anticoagulant),01-Oct-92,developmental,FR
Anthraquinone,84-65-1,"Production of dyes, paper, pharmaceuticals; bird repellant on seeds, gas generator in satellite balloons",28-Sep-07,cancer ,AB
Antimony,7440-36-0,"Alloys, cosmetics, medicine (emetic); flame retardation",,,
Antimony Trioxide,1309-64-4,"Component of flame retardant treatment for polymers; opacifying agent for glasses, ceramics, and enamels; specialty pigments; naturally occurring as valentinite and senarmontite",,,
Aramite,140-57-8,Former acaricide and antimicrobial agent,01-Jul-87,cancer,SQE
Areca Nut,,"Grows in South and Southeast Asia; chewed with betel leaf for mild stimulant effect; component of Ayurvedic and traditional Chinese medicines, may be used to remove intestinal parasites",,,
Aristolochic Acids,,,,,
Arsenic,7440-38-2,"Wood preservative, herbicide, nonferrous alloys, medicine (leukemia treatment); component of tobacco smoke. Formerly used in optical glass.",,,
Arsine,7784-42-1,"Synthesis of semiconducting materials, metals refining; proposed chemical warfare weapon during World War II",,,
Asbestos,1332-21-4,"Heat resistant agent used in construction materials, clothing, disk brake pads, gaskets. Use in the US banned for spray-applied surfacing (1973, 1978, 1990); pipe and block insulation on facility components (1975); papers, flooring felt, and rollboard (1976); artificial embers and wall-patching compounds (1977).",27-Feb-87,cancer,LC
Aspirin,50-78-2,"Medicine (analgesic, anti-inflammatory, antipyretic)",,,
Atenolol,29122-68-7,Medicine (beta blocker),26-Aug-97,developmental ,FR
Atorvastatin calcium,134523-03-8,A statin drug used to lower cholesterol and triglyceride levels in the blood,,,
Atrazine,1912-24-9,Herbicide,15-Jul-16,"developmental, female",AB
Atrazine-desisopropyl,1007-28-9,,,,
Auramine,492-80-8,"Dye, fungicide, medicine (antiseptic); preparation of solvent yellow 34",01-Jul-87,cancer,SQE
Auranofin,34031-32-8,"Medicine (anti-inflammatory, anti-arthritic effects)",29-Jan-99,developmental ,FR
Avermectin B1 (Abamectin),71751-41-2,"Insecticide, veterinary medicine (antihelmintic)",03-Dec-10,developmental,AB
Azacitidine,320-67-2,Medicine (treatment of myelodysplastic syndrome),01-Jan-92,cancer,AB
Azaserine,115-02-6,"Medicine (antifungal), veterinary medicine (antibiotic, antineoplastic)",01-Jul-87,cancer,SQE
Azathioprine,446-86-6,Medicine (immunosuppression),27-Feb-87,cancer,LC
Azathioprine,446-86-6,Medicine (immunosuppression),01-Sep-96,developmental,FR
Azinphos-methyl,86-50-0,broad spectrum organophosphate insecticide,,,
Azobenzene,103-33-3,"Chemical intermediate in production of dyes, rubber accelerators, benzidine, insecticides, and pyrazolone derivatives. Formerly used as greenhouse fumigant against insects and mites.",01-Jan-90,cancer,AB
Barbiturates,,,01-Oct-92,developmental,FR
Barium,7440-39-3,"Component of paints, soap, paper, rubber, alloys; manufacture of ceramics and glass",,,
Beclomethasone Dipropionate,08-09-5534,Medicine (glucocorticoid steroid),,,
Benomyl,17804-35-2,"Pesticide, fungicide. All registrations voluntarily cancelled in the US by 2002; estimated no use in US after 2003.",01-Jul-91,"developmental, male",SQE
Bensulfuron-methyl,83055-99-6,Herbicide,,,
Bentazon,25057-89-0,Herbicide (selective),,,
Benthiavalicarb-isopropyl,177406-68-7,Fungicide; not currently registered for use in the US,01-Jul-08,cancer ,AB
Benz(a)anthracene,56-55-3,"Research chemical; chemical intermediate; component of tobacco smoke. Found in coal tar, roasted coffee, smoked foods, and automobile exhaust",,,
Benzene,71-43-2,"Additive in gasoline, solvent, oil extraction, photogravure printing, veterinary medicine (disinfectant); production of detergents, explosives, pharmaceuticals, and dyestuffs; chemical intermediate in production of ethylbenzene (styrene), cumene, cyclohexane; component of combustion emissions and tobacco smoke",27-Feb-87,cancer,LC
Benzene,71-43-2,"Additive in gasoline, solvent, oil extraction, photogravure printing, veterinary medicine (disinfectant); production of detergents, explosives, pharmaceuticals, and dyestuffs; chemical intermediate in production of ethylbenzene (styrene), cumene, cyclohexane; component of combustion emissions and tobacco smoke",26-Dec-97,"developmental, male ",SQE
Benzidine,92-87-5,"Formerly used to test for blood, produce dyes, No longer produced, used, or imported in US, though benzidine-based dyes may be imported.",,,
Benzidine-based Dyes,,,,,
Benzodiazepines,,Medicine (tranquilizers),01-Oct-92,developmental,FR
Benzofuran,271-89-6,Component extracted from coal tar; component of coumarone-indene resin (used in food packaging),01-Oct-90,cancer,AB
Benzophenone,119-61-9,"Photo initiator in UV-curing applications, UV blocker; biological analysis (photophysical probe)",22-Jun-12,cancer,LC
Benzotrichloride,98-07-7,Production of dyes; chemical intermediate,01-Jul-87,cancer,SQE
Benzo[a]pyrene,50-32-8,"Component of coal tar, diesel emissions, and smoke resulting from combustion of organic material, including tobacco smoke",01-Jul-87,cancer,SQE
Benzo[b]fluoranthene,205-99-2,"Research chemical; found in coal, coke oven emissions, petroleum products",01-Jul-87,cancer,SQE
Benzo[j]fluoranthene,205-82-3,Research chemical (induces cancer); component of tobacco smoke,01-Jul-87,cancer,SQE
Benzo[k]fluoranthene,207-08-9,Product of combustion; component of tobacco smoke,01-Jul-87,cancer,SQE
Benzphetamine Hydrochloride,5411-22-3,Medicine (induce weight loss),,,
Benzyl Acetate,140-11-4,"Solvent used in perfumery and in chemical synthesis; artificial jasmine and other perfumes; flavoring; solvent and high boiler for cellulose acetate and nitrate, natural and synthetic resins, oils, lacquers, polishes, printing inks, and varnish removers",,,
Benzyl Chloride,100-44-7,"Chemical intermediate in manufacture of dyes, plasticizers, lubricants, gasoline additives, flavorings, pharmaceuticals, tanning agents, and quaternary ammonium compounds; irritant gas in chemical warfare, photographic developer",,,
Benzyl Violet 4B,1694-09-3,"Dye for wool, silk, nylon, leather and anodized aluminum. Biological stain, wood stain, inks and colored paper. Has been used as a color additive in food, drugs and cosmetics",,,
Beryllium,7440-41-7,"Naturally occurring element; strengthening and conductive component used alone or in alloys (ie. aerospace material, electronics, fuel containers); component of tobacco smoke",,,
Beryllium Oxide,1304-56-9,"Sintered to produce ceramic; semiconductor parts, filler in thermal interface materials, electronic and microelectronic applications",,,
Beryllium Sulfate,13510-49-1,"Chemical intermediate production of beryllium salts, ceramics, and chemical reagents",,,
Betel quid with tobacco,,"Recreational stimulant, often containing betel leaf, areca nut, and/or slaked lime",01-Jan-90,cancer,AB
Betel quid without tobacco,,"Recreational stimulant, often containing betel leaf, areca nut, and/or slaked lime",03-Feb-06,cancer ,LC
Bevacizumab,216974-75-3,Bevacizumab is a cancer medicine that interferes with the growth and spread of cancer cells in the body.,08-Mar-19,"developmental, female",FR
Bevacizumab,216974-75-3,Bevacizumab is a cancer medicine that interferes with the growth and spread of cancer cells in the body.,08-Mar-19,"developmental, female",FR
Bifenthrin,‎82657-04-3,pyrethroid insecticide,,,
"Bis(2-chloro-1-methylethyl)ether, Technical Grade",,,,,
Bis(2-chloroethyl) Ether,111-44-4,"Chemical intermediate in production of pesticides; solvent, rust inhibitor",,,
Bis(2-chloromethyl) Ether,542-88-1,"Research chemical, lab reagent. Formerly used in manufacture of polymers, but it is no longer used commercially in the US.",,,
"2,2-Bis(bromomethyl)-1,3-propanediol",3296-90-0,"Reactive flame retardant in unsaturated polyester resins, moulded products, and rigid polyurethane foam",01-May-96,cancer,AB
Bischloroethyl Nitrosourea (BCNU),154-93-8,Medicine (antineoplastic),,,
Bisphenol-A,80-05-7,"Used to make certain plastics and epoxy resins. BPA-based plastic is made into a variety of common consumer goods, such as water bottles, sports equipment, CDs, and DVDs. Epoxy resins containing BPA are used as coatings on the inside of many food and beverage cans and in making thermal paper such as that used in sales receipts.",,,
"Bitumens, extracts of steam-refined and air refined",,,01-Jan-90,cancer,AB
Boric acid,10043-35-3,"Crosslinker in hydraulic fracturing; pesticide; insecticide; weatherproofing wood and fireproofing fabrics; preservative; ant poinsons or bait; used in the manufacture of various products, such as glass, paper products, electrical and electronic products, fabric, textile, leather products, lubricants, lawn and garden care products, and many more; flame retardant; nuclear-reactor cooling water additive; component in high contrast lith-type film developer formula; sequestrant; buffer; in cosmetic products; medication",,,
Bracken Fern,,Grows with worldwide distribution; immature fronds (fiddleheads) are used as foodstuff,,,
Bromacil,314-40-9,"Pesticide, herbicide",,,
Bromacil Lithium Salt,53404-19-6,Herbicide,,,
Bromate,15541-45-4,Formed when water containing bromide is disinfected with ozone,31-May-02,cancer ,AB
Bromochloroacetic Acid,5589-96-8,Research chemical,,,
Bromodichloroacetic acid,71133-14-7,,29-Jul-16,cancer,AB
Bromodichloromethane,75-27-4,Chemical intermediate (organic). Found in drinking water as byproduct of chlorination process. Formerly used as flame retardent and solvent.,01-Jan-90,cancer,AB
Bromoethane,74-96-4,Ethylating agent,22-Dec-00,cancer,AB
Bromoform,75-25-2,"Analytical reagent. Formerly used as solvent, medicine (sedative), flame retardant",01-Apr-91,cancer,AB
1-Bromopropane,106-94-5,"Solvent for adhesives, cleaning of metal surfaces, and dry-cleaning; aerosol propellant",,,
2-Bromopropane,75-26-3,"Chemical intermediate in the synthesis of pharmaceuticals, dyes, and other organic chemicals; contaminant of 1-bromopropane",,,
Bromoxynil,1689-84-5,Nitrile herbicide,01-Oct-90,developmental,FR
Bromoxynil Octanoate,1689-99-2,Nitrile herbicide,,,
Butabarbital Sodium,143-81-7,Medicine (sedative),,,
"1,3-Butadiene",106-99-0,"Polymer component in production of synthetic rubber, plastic, and fuel; chemical intermediate (nylon); component of tobacco smoke",01-Apr-88,cancer,SQE
"1,3-Butadiene",106-99-0,"Polymer component in production of synthetic rubber, plastic, and fuel; chemical intermediate (nylon); component of tobacco smoke",16-Apr-04,"developmental, female, male ",AB
"1,4-Butanediol Dimethanesulfonate",55-98-1,"Medicine (alkylating agent with select immunosuppressive effects, palliative treatment of chronic myeloid leukemia)",,,
"2,4-D Butoxyethanol Ester",1929-73-3,Herbicide,,,
Butyl Benzyl Phthalate,85-68-7,"Plasticizer for PVC, vinyl foams, polymer coatings for textiles",,,
"2,4,5-T Butyl Ester",93-79-8,"Herbicide used on rice fields, orchards, sugarcane, rangeland and other noncrop sites; US EPA terminated all registration for the use of this herbicide in 1985",,,
"2,4-D n-Butyl Ester",94-80-4,Herbicide,,,
n-Butyl glycidyl ether,06-08-2426,"Used as a reactive diluent in epoxy resins, and as an acid acceptor for, 	stabilizing chlorinated solvents and chemical intermediates",,,
Butylated Hydroxyanisole,25013-16-5,"Antioxidant and preservative in fat-containing food, food packaging, animal feed, cosmetics, and petroleum products",,,
"2,4-D Butyric Acid",94-82-6,Herbicide,,,
beta-Butyrolactone,3068-88-0,Building block for organic synthesis,01-Jul-87,cancer,SQE
C.I. Acid Red 114,6459-94-5,Dye,01-Jul-92,cancer,AB
C.I. Basic Red 9 Monohydrochloride,569-61-9,"Dye, pH indicator",,,
C.I. Direct Blue 15,2429-74-5,Dye,26-Aug-97,cancer ,AB
C.I. Direct Blue 218,28407-37-6,"Dye for fabric, leather, and paper",26-Aug-97,cancer ,AB
C.I. Disperse Yellow 3,2832-40-8,Dye,08-Feb-13,cancer,SQE
C.I. Solvent Yellow 14,842-07-9,Dye,15-May-98,cancer ,AB
Cacodylic Acid,75-60-5,Herbicide,,,
Cadmium,7440-43-9,"Rechargeable batteries, corrosion-resistant electroplating, barrier to control neutrons in nuclear fission, alloys, dental amalgams, plastic (PVC) stabilizer; production of pigments, television phosphors, photoelectric cells, electronics, fungicides, photography and lithography; component of tobacco smoke",01-May-97,"developmental, male ",SQE
Cadmium,7440-43-9,"Rechargeable batteries, corrosion-resistant electroplating, barrier to control neutrons in nuclear fission, alloys, dental amalgams, plastic (PVC) stabilizer; production of pigments, television phosphors, photoelectric cells, electronics, fungicides, photography and lithography; component of tobacco smoke",01-Oct-87,cancer,SQE
Caffeic Acid,331-39-5,"Found in coffee, argan oil, and barley",,,
Caffeine,58-08-2,,,,
Caprolactam,105-60-2,"Monomer used in manufacture of synthetic fibers and resins (Nylon 6) used in carpets, rugs, textiles, engineering plastics, tire cord, and plastic film",,,
Captafol,01-06-2425,Formerly used as fungicide; use in US banned in 2006.,01-Oct-88,cancer,SQE
Captan,133-06-2,"Agricultural and ornamental fungicide, preservative, cosmetics, medicine (bacteriostatic agent). Most food crop uses have been cancelled in the US since 1989.",01-Jan-90,cancer,AB
Carbamazepine,298-46-4,"Medicine (anticonvulsant, mood stabilizer)",29-Jan-99,developmental ,FR
Carbaryl,63-25-2,Carbamate insecticide,05-Feb-10,cancer ,AB
Carbazole,86-74-8,"Chemical intermediate in production of dyes; product of incomplete combustion of organic matter, component of tobacco smoke",01-May-96,cancer,AB
Carbofuran,1563-66-2,"Insecticide, nematicide. No residential uses registered; residue on domestic and imported agricultural food products banned in US in 2009.",,,
"Carbon black (airborne, unbound particles of respirable size)",1333-86-4,"Reinforcing filler in tires and other rubber products, pigment in plastics; model compound for diesel soot in diesel oxidation experiments; produced by incomplete combustion of heavy petroleum products",21-Feb-03,cancer ,AB
Carbon dioxide,124-38-9,"Some uses include: pesticide; rodenticide; refrigeration; carbonated beverages; aerosol propellant; chemical intermediate (carbonates, synthetic fibers, p-xylene, etc.); fire extinguishing; municipal water treatment; medication during surgical procedures; fracturing and acidizing of oil wells; mining (Cardox method); moderator in some types of nuclear reactors; immobilization for humane animal killing; as demulsifier in tertiary oil recovery; possible source of methane; extraction of caffeine and hops aroma; dry cleaning; metal degreasing; cleaning semiconductor chips; paint spraying; polymer modification; hydraulic fracturing",,,
Carbon Disulfide,75-15-0,"Fumigant, insecticide, solvent; production of rayon, cellophane, rubber chemicals, pesticides, carbon tetrachloride; component of tobacco smoke",,,
Carbon Monoxide,630-08-0,"Fuel in industrial operations, reducing agent; component of tobacco smoke and other incomplete combustion emissions",,,
Carbon Tetrachloride,56-23-5,"Dry cleaning agent, fire extinguisher, solvent, degreaser, refrigerant, chlorofluorocarbon feedstock. Use as fumigant banned in US in 1986 except for preservation of museum artifacts. Synthesis, use as CFC feedstock, and agricultural use have ceased in California.",,,
Carbon-Black Extracts,,,,,
Carbonyl sulfide,463-58-1,"Used as an intermediate in the production of thiocarbamate herbicides., , Chemical intermediate and a byproduct of carbon disulfide production; however, it is also released from automobiles, coal-fired power plants, biomass combustion, fish processing, combustion of refuse and plastics, petroleum manufacture, and manufacture of synthetic fibers, starch, and rubber.",,,
Carboplatin,41575-94-4,Medicine (antineoplastic),01-Jul-90,developmental,FR
n-Carboxymethyl-n-Nitrosourea,60391-92-6,Naturally occurring; formed from reaction of glycocyamine and nitrite,,,
Catechol,120-80-9,"Production of pesticides, flavorings, and fragrances",15-Jul-03,cancer ,AB
Ceramic fibers (airborne particles of respirable size),,,01-Jul-90,cancer,AB
Cerivastatin Sodium,143201-11-0,"A Hydroxymethylglutaryl-CoA-Reductase Inhibitor, or statin, that reduces the plasma concentrations of LDL-cholesterol, Apolipoprotein B, and Triglycerides, while increasing HDL-cholesterol levels in patients with hypercholesterolemia and those at risk for cardiovascular diseases",,,
Certain combined chemotherapy for lymphomas,,,27-Feb-87,cancer,LC
Chenodiol,474-25-9,Medicine (dissolution of gallstones); research chemical (proteomics); endogenously produced bile acid,01-Apr-90,developmental,FR
Chloral,75-87-6,Production of pharmaceuticals,13-Sep-13,cancer,LC
Chloral Hydrate,302-17-0,Medicine (sedative); not approved by FDA or EMA,,,
Chloramben,133-90-4,Herbicide,,,
Chlorambucil,305-03-3,"Medicine (leukemia treatment), insect sterilant",27-Feb-87,cancer,LC
Chlorambucil,305-03-3,"Medicine (leukemia treatment), insect sterilant",01-Jan-89,developmental,SQE
Chloramphenicol,56-75-7,,,,
Chloramphenicol Sodium Succinate,982-57-0,Medicine (antibiotic),,,
Chlorantraniliprole,500008-45-7,broad-spectrum anthranilic diamide insecticide,,,
Chlorate,14866-68-3,"by-product of water disinfection, herbicide",,,
Chlorcyclizine Hydrochloride,1620-21-9,Medicine (antihistimine),,,
Chlordane,57-74-9,Insecticide; fumigant. Use banned in the US in 1988.,01-Jul-88,cancer,SQE
Chlordecone,143-50-0,Insecticide. Production ended in US in 1975; use banned by Stockholm Convention (not ratified by the US) in 2010.,,,
Chlordiazepoxide,58-25-3,Drug used to relieve anxiety and to control agitation caused by alcohol withdrawal.,01-Jan-92,developmental,FR
Chlordiazepoxide Hydrochloride,438-41-5,Medicine (benzodiazepine sedative),,,
Chlordimeform,6164-98-3,Acaricide,01-Jan-89,cancer,SQE
Chlorendic Acid,115-28-6,"Flame retardant, hardening agent; chemical intermediate for plasticizers",,,
Chlorinated paraffins (Avg. chain length C12; approx. 60 percent chlorine by weight),108171-26-2,"Lubricant additive in metalworking fluid; flame retardant in plastics, rubber, and paints; water resistance improver; component of sealants, adhesives, detergents, finished leather; permitted as indirect food additive",,,
Chlorine,7782-50-5,"Bleach, disinfectant, controls odor; demulsifying agent in water treatment; manufacture of rubber, plastics, pesticides",,,
Chlorine Dioxide,10049-04-4,"Bleaching agent, antiseptic, bactericide; water treatment",,,
Chlorite,7758-19-2,Water treatment disinfectant byproduct,,,
Chlornapazine,494-03-1,,,,
3-Chloro-2-methylpropene,563-47-3,"Chemical intermediate in production of insecticides, plastics, and pharmaceuticals; textile and perfume additive",01-Jul-89,cancer,SQE
"2-Chloro-4,6-diamino-1,3,5-triazine",3397-62-4,,,,
1-Chloro-4-nitrobenzene,100-00-5,"Chemical intermediate in production of dyes, insecticides, rubber processing chemicals, and oil additives",29-Oct-99,cancer,SQE
p-Chloro-o-toluidine,95-69-2,"Chemical intermediate in manufacture of azo dyes, pigments, and chlordimeform (pesticide). Production and distribution ended in US in 1979; believed to be no longer produced or used worldwide.",01-Jan-90,cancer,AB
5-Chloro-o-toluidine and its strong acid salts,,,24-Oct-97,cancer ,SQE
p-Chloro-o-toluidine Hydrochloride,3165-93-3,"Production of azo dyes in cotton, silk, acetate, and nylon; chemical intermediate in production of dyes and pigment. Previously used in manufacture of chlordimeform (pesticide), believed to be no longer produced or used worldwide.",,,
"p-Chloro-o-toluidine, strong acid salts of",,,15-May-98,cancer ,AB
4-Chloro-ortho-phenylenediamine,95-83-0,Synthesis of dyesand experimental pharmaceuticals; chemical intermediate in production of curing agent for epoxy resins; reagent in gas chromatography,,,
"p-Chloro-α,α,α-trifluorotoluene (para-Chlorobenzo trifluoride, PCBTF)",98-56-6,"Solvent used in paints, inks and coatings and as an industrial intermediate in the production of other chemicals (e.g.herbicides, dyes, pharmaceuticals).",,,
Chloroacetaldehyde,107-20-0,Used for and during the manufacture of certain chemicals; pesticide; preservative; also used for removing bark from tree trunks,,,
p-Chloroaniline,106-47-8,"Production of pesticides, pharmaceuticals, and dyes",01-Oct-94,cancer,AB
p-Chloroaniline Hydrochloride,20265-96-7,Chemical intermediate (dyes); pharmaceutical byproduct,,,
Chlorobenzene,108-90-7,"Solvent (pesticide formulations), degreasing automobile parts; chemical intermediate in production of herbicides, dyes, and rubber. Formerly used in production of other chemicals, such as phenol and DDT.",,,
4-Chlorobenzenesulfonic Acid,98-66-8,Chemical contaminant generated as a byproduct of dichloro-diphenyl-trichloroethane (DDT) manufacturing,,,
Chloroethane (Ethyl Chloride),75-00-3,"Refrigerant, aerosol propellant, blowing agent for foam packaging; medicine (anesthetic; 'dead tooth' diagnosis); chemical intermediate in production of thickening agents",,,
1-(2-Chloroethyl)-3-(4-methylcyclohexyl)-1-nitrosourea,13909-09-6,,,,
1-(2-Chloroethyl)-3-cyclohexyl-1-nitrosourea (CCNU) (Lomustine),13010-47-4,Medicine (antineoplastic),01-Jan-88,cancer,SQE
1-(2-Chloroethyl)-3-cyclohexyl-1-nitrosourea (CCNU) (Lomustine),13010-47-4,Medicine (antineoplastic),01-Jul-90,developmental,FR
Chlorofluoromethane,593-70-4,Refrigerant,,,
Chloroform,67-66-3,"Solvent, reagent; production of dyes, pesticides; chemical intermediate; component of tobacco smoke. Formerly used as inhalational anaesthetic until 1976.",01-Oct-87,cancer,SQE
Chloromethyl Methyl Ether (Technical Grade),107-30-2,"Chemical intermediate; alkylating agent and solvent in the manufacture of water repellants, ion-exchange resins, and industrial polymers. The industrial use of CMME was widely curtailed in 1976, and is no longer produced in the US.",,,
2 Chloronitrobenzene,88 73 3,,,,
Chloropicrin,76-06-2,"Fumigant, nematicide. Formerly used as choking agent in chemical warfare and riot control",,,
Chloroprene,126-99-8,"Production of polychloroprene solid (Neoprene, Bayprene) and polychloroprene liquid dispersions",02-Jun-00,cancer ,AB
2-Chloropropionic Acid,598-78-7,,,,
Chlorothalonil,1897-45-6,"Fungicide, bactericide, nematocide, algaecide, insecticide; preservative additive in paints, resins, emulsions, and coatings",01-Jan-89,cancer,SQE
2-Chlorotoluene,95-49-8,,,,
